year_month,Actor1CountryCode,Actor2CountryCode,total_events,geo_unrest_score,total_gov_gov_events,total_ngov_gov_events,total_gov_ngov_events,pol_involve_score,suri_score,avg_goldstein,total_mentions,total_sources,total_articles,avg_tone,ingested_at
2025-01-01,SYR,PAK,1,0,0,0,0,0.0,0.0,1.9,2,1,2,-6.08365019011407,2026-02-25T01:53:14.770Z
2025-01-01,USA,GBR,253,8,19,1,1,0.08300395256916997,0.6640316205533597,1.4699604743083021,747,265,740,-0.5487844915411096,2026-02-25T01:53:14.770Z
2025-01-01,CHN,IRN,4,0,0,0,0,0.0,0.0,7.4,7,4,7,-1.0731678634181399,2026-02-25T01:53:14.770Z
2025-01-01,RUS,PAK,2,0,0,0,0,0.0,0.0,0.0,18,2,18,-0.42016806722689,2026-02-25T01:53:14.770Z
2025-01-01,RUS,SYR,62,2,0,0,0,0.0,0.0,2.4838709677419355,162,64,162,-2.503278754163069,2026-02-25T01:53:14.770Z
2025-01-01,IRN,RUS,37,0,0,0,0,0.0,0.0,0.8459459459459459,96,37,96,-2.450924264725608,2026-02-25T01:53:14.770Z
2025-01-01,FRA,RUS,19,1,0,0,0,0.0,0.0,2.5842105263157897,80,19,80,-2.559886156986969,2026-02-25T01:53:14.770Z
2025-01-01,IND,CHN,4,0,0,0,0,0.0,0.0,3.6,13,4,13,-1.24428302394404,2026-02-25T01:53:14.770Z
2025-01-01,PAK,USA,36,0,2,0,0,0.05555555555555555,0.0,-0.30555555555555564,124,36,123,-2.978500848655559,2026-02-25T01:53:14.770Z
2025-01-01,TUR,IRN,14,0,0,0,0,0.0,0.0,2.0571428571428574,40,14,40,-2.3221149163416053,2026-02-25T01:53:14.770Z
2025-01-01,KOR,UKR,15,0,0,0,0,0.0,0.0,-3.9,42,17,42,-1.493274559314334,2026-02-25T01:53:14.770Z
2025-01-01,MEX,ISR,11,0,0,0,0,0.0,0.0,2.209090909090909,26,11,26,-1.5402615535863782,2026-02-25T01:53:14.770Z
2025-01-01,ISR,PSE,953,26,0,0,20,0.02098635886673662,0.5456453305351521,-0.08268625393494222,3211,1114,3191,-5.3720807465877165,2026-02-25T01:53:14.770Z
2025-01-01,ISR,FRA,27,0,0,0,0,0.0,0.0,-2.9481481481481477,61,27,61,-5.010960961624617,2026-02-25T01:53:14.770Z
2025-01-01,EGY,IRN,4,2,0,0,0,0.0,0.0,-2.0,15,4,15,-5.864668730132175,2026-02-25T01:53:14.770Z
2025-01-01,USA,ARG,11,0,0,0,0,0.0,0.0,1.2181818181818183,45,11,41,1.0125318475452354,2026-02-25T01:53:14.770Z
2025-01-01,RUS,ISR,10,6,0,0,0,0.0,0.0,-1.55,22,10,22,-3.157425645566779,2026-02-25T01:53:14.770Z
2025-01-01,SYR,SYR,67,3,5,0,0,0.07462686567164178,0.22388059701492535,-0.14776119402985097,250,67,242,-2.0703461808052395,2026-02-25T01:53:14.770Z
2025-01-01,CHN,KOR,14,0,0,0,0,0.0,0.0,3.3428571428571416,44,14,44,1.5200934808882427,2026-02-25T01:53:14.770Z
2025-01-01,UKR,GBR,46,2,1,0,0,0.021739130434782608,0.043478260869565216,3.6847826086956528,179,46,177,-1.0228863901664267,2026-02-25T01:53:14.770Z
2025-01-01,UKR,SYR,9,0,0,0,0,0.0,0.0,-0.46666666666666656,14,9,14,-2.8000664311019556,2026-02-25T01:53:14.770Z
2025-01-01,PAK,FRA,1,0,0,0,0,0.0,0.0,-5.0,8,1,8,-3.80848748639826,2026-02-25T01:53:14.770Z
2025-01-01,EGY,ETH,2,0,0,0,0,0.0,0.0,1.0,10,2,10,-4.31654676258993,2026-02-25T01:53:14.770Z
2025-01-01,USA,RWA,5,0,0,0,0,0.0,0.0,-0.8,22,5,18,-1.8787107587049143,2026-02-25T01:53:14.770Z
2025-01-01,ISR,ARG,1,0,0,0,0,0.0,0.0,1.9,1,1,1,-5.76441102756892,2026-02-25T01:53:14.770Z
2025-01-01,FRA,GBR,50,0,0,0,0,0.0,0.0,3.78,172,52,170,-0.7257707351194278,2026-02-25T01:53:14.770Z
2025-01-01,GBR,EGY,5,2,0,0,0,0.0,0.0,-0.8,12,5,12,-7.19225449515906,2026-02-25T01:53:14.770Z
2025-01-01,PSE,EGY,79,1,0,1,0,0.012658227848101266,0.012658227848101266,0.18354430379746836,212,79,212,-3.788944189751687,2026-02-25T01:53:14.770Z
2025-01-01,PRK,GBR,2,0,0,0,0,0.0,0.0,2.8,10,2,10,-0.80645161290322,2026-02-25T01:53:14.770Z
2025-01-01,IND,IND,122,6,3,5,3,0.09016393442622951,0.5409836065573771,0.19344262295081954,442,123,442,-2.61091219456265,2026-02-25T01:53:14.770Z
2025-01-01,USA,VEN,131,5,1,0,0,0.007633587786259542,0.03816793893129771,-0.11984732824427491,382,149,381,-3.055597867608111,2026-02-25T01:53:14.770Z
2025-01-01,UKR,TUR,2,0,0,0,0,0.0,0.0,0.0,8,2,8,-2.09605749186264,2026-02-25T01:53:14.770Z
2025-01-01,PRK,CHN,3,0,0,0,0,0.0,0.0,4.166666666666667,4,3,4,-2.43690165361184,2026-02-25T01:53:14.770Z
2025-01-01,ARG,GBR,2,0,0,0,0,0.0,0.0,3.0,11,2,8,0.25062656641604,2026-02-25T01:53:14.770Z
2025-01-01,EGY,ISR,77,7,0,0,0,0.0,0.0,0.4999999999999999,195,77,195,-4.170470739342647,2026-02-25T01:53:14.770Z
2025-01-01,RWA,GBR,1,0,0,0,0,0.0,0.0,0.0,2,1,2,-4.34782608695653,2026-02-25T01:53:14.770Z
2025-01-01,BRA,CHN,5,0,0,0,0,0.0,0.0,5.4399999999999995,11,5,11,-2.077691068995413,2026-02-25T01:53:14.770Z
2025-01-01,CHN,ETH,1,0,0,0,0,0.0,0.0,7.4,2,1,2,-0.46816479400749,2026-02-25T01:53:14.770Z
2025-01-01,MEX,RUS,2,0,0,0,0,0.0,0.0,-2.0,8,2,8,-4.71303686811098,2026-02-25T01:53:14.770Z
2025-01-01,BRA,BRA,47,0,3,0,0,0.06382978723404255,0.0,0.9617021276595741,152,47,152,-3.460678537075481,2026-02-25T01:53:14.770Z
2025-01-01,GBR,ARG,4,0,0,0,0,0.0,0.0,0.75,9,4,9,-0.6009847102964525,2026-02-25T01:53:14.770Z
2025-01-01,RUS,KOR,9,0,0,0,0,0.0,0.0,2.0444444444444443,14,9,14,-1.4699062350341643,2026-02-25T01:53:14.770Z
2025-01-01,UKR,ISR,5,0,0,0,0,0.0,0.0,2.96,9,5,9,0.5313595624263441,2026-02-25T01:53:14.770Z
2025-01-01,RWA,COD,94,6,0,0,0,0.0,0.0,-1.2478723404255316,386,99,376,-5.2852862796045645,2026-02-25T01:53:14.770Z
2025-01-01,GBR,RUS,45,0,3,0,5,0.17777777777777778,0.0,-0.4177777777777778,94,51,94,-4.897324195558746,2026-02-25T01:53:14.770Z
2025-01-01,VEN,ISR,4,0,0,0,0,0.0,0.0,3.4,12,4,11,3.9906103286385,2026-02-25T01:53:14.770Z
2025-01-01,DEU,PSE,13,2,0,0,0,0.0,0.0,-5.076923076923077,27,13,27,-6.555658686399391,2026-02-25T01:53:14.770Z
2025-01-01,FRA,IRN,13,0,0,0,0,0.0,0.0,2.8615384615384616,44,13,44,-4.900137277871525,2026-02-25T01:53:14.770Z
2025-01-01,CHN,ARG,1,0,0,0,0,0.0,0.0,2.8,2,1,2,2.32558139534884,2026-02-25T01:53:14.770Z
2025-01-01,ISR,MEX,21,0,0,0,0,0.0,0.0,-4.104761904761905,44,22,44,-2.932816018101502,2026-02-25T01:53:14.770Z
2025-01-01,ISR,IND,9,0,0,0,0,0.0,0.0,2.3666666666666667,18,9,18,3.888796639668396,2026-02-25T01:53:14.770Z
2025-01-01,VEN,IRN,3,0,0,0,0,0.0,0.0,6.400000000000001,6,3,6,-2.41134751773049,2026-02-25T01:53:14.770Z
2025-01-01,ISR,GBR,33,2,0,0,0,0.0,0.0,1.5303030303030296,110,39,108,-3.6014058525304407,2026-02-25T01:53:14.770Z
2025-01-01,SYR,PSE,11,0,0,0,0,0.0,0.0,1.0727272727272725,33,11,33,-2.224618764666419,2026-02-25T01:53:14.770Z
2025-01-01,FRA,EGY,3,0,0,0,0,0.0,0.0,4.0,8,3,8,0.99700897308075,2026-02-25T01:53:14.770Z
2025-01-01,DEU,MEX,2,0,0,0,0,0.0,0.0,3.4,10,2,10,-0.323624595469253,2026-02-25T01:53:14.770Z
2025-01-01,USA,EGY,40,0,0,0,0,0.0,0.0,2.005,104,40,104,-2.565913103184074,2026-02-25T01:53:14.770Z
2025-01-01,KOR,PRK,29,0,0,0,0,0.0,0.0,0.9655172413793103,75,29,75,-1.186812949832184,2026-02-25T01:53:14.770Z
2025-01-01,CHN,UKR,7,0,0,0,0,0.0,0.0,2.457142857142857,36,13,36,-1.669095161792067,2026-02-25T01:53:14.770Z
2025-01-01,USA,MEX,273,2,6,0,0,0.02197802197802198,0.04395604395604396,1.0487179487179499,875,290,863,-2.5089908913345877,2026-02-25T01:53:14.770Z
2025-01-01,ETH,ETH,27,0,0,0,0,0.0,0.0,4.955555555555556,50,27,50,2.441386110771407,2026-02-25T01:53:14.770Z
2025-01-01,ETH,TUR,2,0,0,0,0,0.0,0.0,3.4,10,2,10,12.3919308357349,2026-02-25T01:53:14.770Z
2025-01-01,ISR,ETH,1,0,0,0,0,0.0,0.0,1.9,5,1,5,-1.79041600842549,2026-02-25T01:53:14.770Z
2025-01-01,ISR,USA,379,15,17,0,2,0.05013192612137203,0.7519788918205804,1.0641160949868076,1009,404,1001,-3.4232915154350083,2026-02-25T01:53:14.770Z
2025-01-01,GBR,IND,11,0,0,0,0,0.0,0.0,0.43636363636363645,28,11,28,0.2681772842541472,2026-02-25T01:53:14.770Z
2025-01-01,SYR,UKR,8,0,0,0,0,0.0,0.0,1.9500000000000002,16,8,16,-3.0081031250484154,2026-02-25T01:53:14.770Z
2025-01-01,RUS,FRA,10,0,0,0,0,0.0,0.0,3.78,42,10,42,-3.480625493658844,2026-02-25T01:53:14.770Z
2025-01-01,PSE,SYR,19,0,0,0,0,0.0,0.0,-3.9210526315789473,46,20,46,-3.5097530558302084,2026-02-25T01:53:14.770Z
2025-01-01,FRA,ISR,41,1,0,0,0,0.0,0.0,-1.0219512195121951,127,44,125,-5.192363587861693,2026-02-25T01:53:14.770Z
2025-01-01,IND,BRA,2,0,0,0,0,0.0,0.0,1.9,5,2,5,-5.38172715894869,2026-02-25T01:53:14.770Z
2025-01-01,ETH,EGY,2,0,0,0,0,0.0,0.0,1.0,10,2,10,-4.31654676258993,2026-02-25T01:53:14.770Z
2025-01-01,CHN,ISR,3,0,0,0,0,0.0,0.0,2.0,8,3,7,-1.50627615062762,2026-02-25T01:53:14.770Z
2025-01-01,CHN,USA,333,15,10,0,3,0.03903903903903904,0.5855855855855856,0.40360360360360387,1240,362,1236,-1.520434672175881,2026-02-25T01:53:14.770Z
2025-01-01,GBR,RWA,8,2,0,0,0,0.0,0.0,0.75,44,8,44,-4.987615851660486,2026-02-25T01:53:14.770Z
2025-01-01,VEN,GBR,2,0,0,0,0,0.0,0.0,0.0,4,2,4,-1.02685624012639,2026-02-25T01:53:14.770Z
2025-01-01,RUS,PSE,2,0,0,0,0,0.0,0.0,2.8,3,2,3,2.04081632653061,2026-02-25T01:53:14.770Z
2025-01-01,GBR,KOR,2,0,0,0,0,0.0,0.0,3.7,14,2,14,-0.9306893897162252,2026-02-25T01:53:14.770Z
2025-01-01,KOR,KOR,69,0,3,3,1,0.10144927536231885,0.0,-0.14057971014492757,182,71,172,-2.8802123136585265,2026-02-25T01:53:14.770Z
2025-01-01,VEN,MEX,8,0,0,0,0,0.0,0.0,1.5625,24,8,24,-4.37969654478122,2026-02-25T01:53:14.770Z
2025-01-01,DEU,UKR,30,0,1,0,0,0.03333333333333333,0.0,3.286666666666667,83,30,83,-2.357358317159735,2026-02-25T01:53:14.770Z
2025-01-01,PSE,IND,1,0,0,0,0,0.0,0.0,7.0,10,1,10,-5.4421768707483,2026-02-25T01:53:14.770Z
2025-01-01,VEN,USA,108,4,1,0,0,0.009259259259259259,0.037037037037037035,0.3796296296296293,318,115,299,-3.364030168206345,2026-02-25T01:53:14.770Z
2025-01-01,KOR,CHN,31,0,0,0,0,0.0,0.0,3.100000000000002,99,31,99,0.07492075212547025,2026-02-25T01:53:14.770Z
2025-01-01,PAK,CHN,14,0,0,0,0,0.0,0.0,1.8571428571428572,40,14,40,6.38467897308377,2026-02-25T01:53:14.770Z
2025-01-01,BRA,MEX,8,0,0,0,0,0.0,0.0,-0.375,24,8,24,-5.040879372133955,2026-02-25T01:53:14.770Z
2025-01-01,EGY,PSE,120,8,0,0,0,0.0,0.0,0.10749999999999969,315,122,315,-4.728500274986348,2026-02-25T01:53:14.770Z
2025-01-01,RUS,RUS,154,13,5,1,1,0.045454545454545456,0.5909090909090909,-0.46298701298701295,469,159,451,-3.479524952818244,2026-02-25T01:53:14.770Z
2025-01-01,UKR,KOR,8,0,0,0,0,0.0,0.0,2.8625000000000007,19,8,19,0.27888310338441247,2026-02-25T01:53:14.770Z
2025-01-01,IRN,FRA,23,0,0,0,0,0.0,0.0,3.6608695652173906,81,23,81,-3.433728430366319,2026-02-25T01:53:14.770Z
2025-01-01,KOR,MEX,2,0,0,0,0,0.0,0.0,5.2,10,2,10,0.23310023310023,2026-02-25T01:53:14.770Z
2025-01-01,TUR,SYR,57,5,0,0,0,0.0,0.0,1.5,202,59,202,-2.123749219394219,2026-02-25T01:53:14.770Z
2025-01-01,DEU,ISR,43,0,1,0,0,0.023255813953488372,0.0,-0.5255813953488372,138,46,138,-5.585466201926324,2026-02-25T01:53:14.770Z
2025-01-01,USA,PSE,128,0,0,0,4,0.03125,0.0,2.3398437500000018,433,137,427,-3.95298072659685,2026-02-25T01:53:14.770Z
2025-01-01,CHN,FRA,4,0,0,0,0,0.0,0.0,10.0,4,4,4,-2.54545454545455,2026-02-25T01:53:14.770Z
2025-01-01,COD,SYR,2,0,0,0,0,0.0,0.0,7.0,10,2,10,0.48192771084337,2026-02-25T01:53:14.770Z
2025-01-01,USA,PRK,23,5,0,0,0,0.0,0.0,-1.3695652173913044,75,23,75,-2.3305073639237723,2026-02-25T01:53:14.770Z
2025-01-01,PSE,MEX,6,0,0,0,0,0.0,0.0,-7.366666666666667,21,8,21,-4.205932781123885,2026-02-25T01:53:14.770Z
2025-01-01,ETH,USA,5,0,0,0,0,0.0,0.0,-3.3200000000000003,13,5,13,-4.1349610963066725,2026-02-25T01:53:14.770Z
2025-01-01,EGY,ERI,4,0,0,0,0,0.0,0.0,2.3499999999999996,20,4,20,-1.72228202368137,2026-02-25T01:53:14.770Z
2025-01-01,RWA,USA,10,0,0,0,0,0.0,0.0,0.29999999999999993,32,10,28,-4.276019203311589,2026-02-25T01:53:14.770Z
2025-01-01,IRN,PSE,31,0,0,0,6,0.1935483870967742,0.0,3.9677419354838714,74,32,74,-2.2250558921522576,2026-02-25T01:53:14.770Z
2025-01-01,IND,PAK,12,0,0,0,0,0.0,0.0,-3.966666666666667,34,12,34,-5.965465992387844,2026-02-25T01:53:14.770Z
2025-01-01,RWA,FRA,14,0,2,0,0,0.14285714285714285,0.0,3.485714285714285,42,14,42,-3.4564345036948203,2026-02-25T01:53:14.770Z
2025-01-01,UKR,DEU,34,0,0,0,0,0.0,0.0,3.3647058823529417,102,34,102,-2.0524770712367384,2026-02-25T01:53:14.770Z
2025-01-01,ETH,ISR,1,0,0,0,0,0.0,0.0,2.8,5,1,5,-1.79041600842549,2026-02-25T01:53:14.770Z
2025-01-01,IRN,EGY,2,0,0,0,0,0.0,0.0,1.0,10,2,10,-4.31654676258993,2026-02-25T01:53:14.770Z
2025-01-01,KOR,IND,4,0,0,0,0,0.0,0.0,1.4249999999999998,14,4,14,7.174603174603175,2026-02-25T01:53:14.770Z
2025-01-01,FRA,PAK,2,0,0,0,0,0.0,0.0,1.0,10,2,10,6.88073394495413,2026-02-25T01:53:14.770Z
2025-01-01,GBR,UKR,57,0,2,0,0,0.03508771929824561,0.0,3.1578947368421053,214,57,214,-1.5292909004903132,2026-02-25T01:53:14.770Z
2025-01-01,DEU,RUS,9,0,0,0,0,0.0,0.0,0.2888888888888888,42,9,42,-4.334211075499615,2026-02-25T01:53:14.770Z
2025-01-01,COD,RWA,78,5,0,0,0,0.0,0.0,-1.3974358974358974,297,80,297,-5.941868528331787,2026-02-25T01:53:14.770Z
2025-01-01,BRA,IND,2,0,0,0,0,0.0,0.0,2.8,5,2,5,-5.38172715894869,2026-02-25T01:53:14.770Z
2025-01-01,CHN,MEX,28,5,0,0,0,0.0,0.0,2.5785714285714287,73,30,73,-0.4860949481043241,2026-02-25T01:53:14.770Z
2025-01-01,ISR,RUS,9,0,0,0,0,0.0,0.0,3.3,17,9,17,0.7003836272128924,2026-02-25T01:53:14.770Z
2025-01-01,BRA,DEU,1,0,0,0,0,0.0,0.0,7.0,10,1,10,2.80612244897959,2026-02-25T01:53:14.770Z
2025-01-01,TWN,KOR,2,0,0,0,0,0.0,0.0,1.9,2,2,2,-1.9611505416511,2026-02-25T01:53:14.770Z
2025-01-01,TUR,ISR,10,0,0,0,0,0.0,0.0,2.52,32,10,32,-7.099399282177546,2026-02-25T01:53:14.770Z
2025-01-01,RWA,TUR,2,0,0,0,0,0.0,0.0,1.9,8,2,8,0.71301247771836,2026-02-25T01:53:14.770Z
2025-01-01,FRA,PSE,12,2,0,0,0,0.0,0.0,2.75,41,12,39,-5.950450657983299,2026-02-25T01:53:14.770Z
2025-01-01,PAK,ISR,4,0,0,0,0,0.0,0.0,0.25,16,4,16,-2.8886738211272776,2026-02-25T01:53:14.770Z
2025-01-01,PSE,RUS,7,0,0,0,0,0.0,0.0,5.542857142857143,10,7,10,2.04081632653061,2026-02-25T01:53:14.770Z
2025-01-01,KOR,RUS,21,0,0,0,0,0.0,0.0,2.8190476190476192,34,21,34,-1.6425101850563952,2026-02-25T01:53:14.770Z
2025-01-01,USA,PAK,24,0,0,0,0,0.0,0.0,0.22500000000000006,88,24,87,-2.6109277286264847,2026-02-25T01:53:14.770Z
2025-01-01,IRN,IRN,66,4,2,4,1,0.10606060606060606,0.42424242424242425,0.5863636363636363,158,66,158,-3.894419085121225,2026-02-25T01:53:14.770Z
2025-01-01,FRA,DEU,38,0,0,0,0,0.0,0.0,3.4894736842105263,135,38,135,-1.2787475524643257,2026-02-25T01:53:14.770Z
2025-01-01,DEU,EGY,3,0,0,0,0,0.0,0.0,7.0,6,3,6,0.6607627089554834,2026-02-25T01:53:14.770Z
2025-01-01,FRA,RWA,25,0,4,0,0,0.16,0.0,2.4079999999999995,99,26,99,-3.1729597254105677,2026-02-25T01:53:14.770Z
2025-01-01,IRN,USA,67,0,0,1,0,0.014925373134328358,0.0,1.5820895522388063,154,67,154,-4.405700977940371,2026-02-25T01:53:14.770Z
2025-01-01,IND,IRN,3,0,0,0,0,0.0,0.0,1.8999999999999997,12,3,12,-3.052871712292001,2026-02-25T01:53:14.770Z
2025-01-01,IRN,UKR,2,1,0,0,0,0.0,0.0,-0.7000000000000002,8,2,8,-2.670670037926675,2026-02-25T01:53:14.770Z
2025-01-01,USA,ISR,386,9,13,0,1,0.03626943005181347,0.32642487046632124,1.9067357512953362,1235,453,1221,-3.5507343165859173,2026-02-25T01:53:14.770Z
2025-01-01,GBR,BRA,2,0,0,0,0,0.0,0.0,3.0,5,2,5,1.0989010989011,2026-02-25T01:53:14.770Z
2025-01-01,GBR,USA,227,4,20,0,0,0.0881057268722467,0.3524229074889868,1.3533039647577105,684,227,680,-0.6295325604823986,2026-02-25T01:53:14.770Z
2025-01-01,PAK,RUS,3,0,0,0,0,0.0,0.0,4.0,10,3,10,-0.8447561364360899,2026-02-25T01:53:14.770Z
2025-01-01,SYR,DEU,3,0,0,0,0,0.0,0.0,1.5999999999999999,5,3,5,-2.72462912002151,2026-02-25T01:53:14.770Z
2025-01-01,ISR,ISR,484,24,6,12,4,0.045454545454545456,1.0909090909090908,-0.3768595041322309,1360,499,1350,-4.920617620981715,2026-02-25T01:53:14.770Z
2025-01-01,ARG,ISR,2,0,0,0,0,0.0,0.0,-3.1,2,2,2,-5.76441102756892,2026-02-25T01:53:14.770Z
2025-01-01,USA,UKR,87,3,5,0,0,0.05747126436781609,0.1724137931034483,2.9206896551724153,247,87,223,-2.32080363708904,2026-02-25T01:53:14.770Z
2025-01-01,EGY,RUS,2,0,0,0,0,0.0,0.0,2.8,7,2,7,-7.46268656716418,2026-02-25T01:53:14.770Z
2025-01-01,MEX,MEX,88,8,0,0,1,0.011363636363636364,0.09090909090909091,-0.06818181818181818,273,94,273,-2.9791220693579366,2026-02-25T01:53:14.770Z
2025-01-01,TWN,USA,15,0,0,0,4,0.26666666666666666,0.0,1.1,45,15,45,-1.1869148172843358,2026-02-25T01:53:14.770Z
2025-01-01,CHN,BRA,7,0,0,0,0,0.0,0.0,1.0,20,7,20,-3.664559269811663,2026-02-25T01:53:14.770Z
2025-01-01,PRK,KOR,30,0,0,0,0,0.0,0.0,0.16999999999999968,71,32,71,-2.702770457000622,2026-02-25T01:53:14.770Z
2025-01-01,FRA,USA,105,0,0,0,0,0.0,0.0,0.48952380952380936,316,111,315,-2.403773122954299,2026-02-25T01:53:14.770Z
2025-01-01,VEN,ARG,2,0,0,0,0,0.0,0.0,-4.0,10,2,10,-4.20974889217134,2026-02-25T01:53:14.770Z
2025-01-01,FRA,FRA,102,4,0,0,0,0.0,0.0,1.173529411764706,352,102,352,-2.957731040744774,2026-02-25T01:53:14.770Z
2025-01-01,GBR,SYR,4,0,0,0,0,0.0,0.0,-9.75,13,4,13,-5.324071550931488,2026-02-25T01:53:14.770Z
2025-01-01,ISR,DEU,21,2,0,0,0,0.0,0.0,-0.5,43,21,43,-5.426141497657394,2026-02-25T01:53:14.770Z
2025-01-01,COD,DEU,1,0,0,0,0,0.0,0.0,0.0,7,1,7,-0.711743772242,2026-02-25T01:53:14.770Z
2025-01-01,DEU,USA,77,2,0,1,0,0.012987012987012988,0.025974025974025976,0.4025974025974026,267,77,257,-3.112375034806497,2026-02-25T01:53:14.770Z
2025-01-01,IND,USA,30,0,0,0,0,0.0,0.0,1.9166666666666667,110,32,110,-2.2574894175405205,2026-02-25T01:53:14.770Z
2025-01-01,DEU,SYR,4,0,0,0,0,0.0,0.0,-4.0,14,4,14,-2.631899246656075,2026-02-25T01:53:14.770Z
2025-01-01,GBR,COD,8,2,0,0,0,0.0,0.0,-1.625,60,8,60,-4.138707711939234,2026-02-25T01:53:14.770Z
2025-01-01,GBR,CHN,58,1,0,0,0,0.0,0.0,2.1827586206896554,214,58,182,0.5539296799272153,2026-02-25T01:53:14.770Z
2025-01-01,RWA,RWA,61,2,5,4,0,0.14754098360655737,0.29508196721311475,-0.16393442622950818,181,63,175,-4.852473347428314,2026-02-25T01:53:14.770Z
